path,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90,t91,t92,t93,t94,t95,t96,t97,t98,t99,t100
path_0,0.428711,0.448432,0.425935,0.480212,0.499046,0.493608,0.455587,0.434807,0.353611,0.317054,0.330651,0.323337,0.325133,0.307561,0.307053,0.301235,0.279978,0.250905,0.257151,0.254315,0.257807,0.252394,0.2933,0.370591,0.34691,0.39434,0.306278,0.261163,0.290003,0.303627,0.350639,0.299132,0.281407,0.251403,0.272087,0.255904,0.202015,0.202217,0.184028,0.225181,0.216244,0.207528,0.232253,0.280439,0.239137,0.359976,0.398937,0.486371,0.50034,0.504663,0.530195,0.570785,0.484461,0.454023,0.404245,0.386914,0.382669,0.335575,0.250757,0.282393,0.331012,0.338608,0.378357,0.391378,0.432275,0.508946,0.496981,0.443083,0.424522,0.510617,0.597468,0.643521,0.530007,0.610582,0.453651,0.514509,0.438319,0.463767,0.410633,0.384232,0.270165,0.34102,0.331044,0.37792,0.550096,0.445261,0.474,0.493109,0.333608,0.39422,0.404692,0.445584,0.540259,0.670828,0.450356,0.2851,0.244564,0.0535654,0.0115222,0.00672017,0
path_1,0.428711,0.394342,0.380813,0.397827,0.386846,0.346608,0.295754,0.251435,0.25422,0.247662,0.315075,0.283741,0.2506,0.230114,0.213081,0.253249,0.184754,0.182274,0.180121,0.14948,0.169876,0.181363,0.15797,0.165774,0.162131,0.153591,0.149557,0.178346,0.223586,0.277324,0.185474,0.225453,0.309,0.278387,0.267788,0.241304,0.268395,0.265528,0.278506,0.260098,0.311275,0.326979,0.304539,0.306334,0.399942,0.443807,0.420557,0.369105,0.405541,0.464533,0.433707,0.300598,0.32005,0.367447,0.392624,0.430214,0.380038,0.401381,0.5139,0.480991,0.44096,0.463623,0.463435,0.495226,0.498766,0.510348,0.499859,0.425745,0.49159,0.498417,0.505683,0.48835,0.556714,0.639012,0.687574,0.767512,0.642967,0.557403,0.474373,0.404027,0.185467,0.156756,0.14948,0.0900118,0.066843,0.096174,0.13137,0.0457221,0.0506559,0.0474932,0.15034,0.0555513,0.0665278,0.0731269,0.0573424,0.0898234,0.0576316,0.0046712,0.011603,0.00236733,0
path_2,0.428711,0.367192,0.366037,0.380292,0.437962,0.427484,0.356225,0.374899,0.386898,0.399716,0.39364,0.456865,0.546178,0.52064,0.479561,0.404312,0.398701,0.330984,0.277951,0.330288,0.283955,0.244702,0.213748,0.19744,0.224796,0.198722,0.210633,0.224831,0.164885,0.148469,0.108061,0.110598,0.0930442,0.0887126,0.0765892,0.116573,0.0810994,0.104108,0.0774982,0.078275,0.0792264,0.047647,0.0508132,0.0427043,0.0539801,0.0501369,0.0674402,0.0457333,0.0394597,0.0430628,0.0326827,0.0158943,0.009154,0.0118172,0.00786343,0.00547728,0.0105651,0.00851773,0.00397138,0.00469171,0.00462978,0.0046541,0.0110215,0.00824519,0.0155233,0.0110475,0.0104781,0.00840488,0.00539172,0.00346222,0.00257177,0.00410074,0.00258795,0.00161606,0.00482509,0.00560362,0.00394855,0.00348982,0.0187261,0.0363579,0.0522561,0.0728329,0.0784155,0.113424,0.136561,0.139779,0.0810537,0.0928119,0.107257,0.122153,0.193718,0.236753,0.121382,0.0647161,0.0226498,0.0123328,0.00321191,0.00608709,1.53537e-05,7.34976e-06,0
path_3,0.428711,0.47903,0.433543,0.36566,0.36357,0.414669,0.372532,0.368453,0.385184,0.440884,0.350443,0.417514,0.495625,0.511604,0.484839,0.418848,0.439082,0.485004,0.492483,0.442996,0.476173,0.511107,0.471849,0.371099,0.397628,0.393178,0.28793,0.274526,0.250209,0.286787,0.268621,0.277509,0.279925,0.158791,0.120345,0.179443,0.21615,0.223286,0.208438,0.272562,0.28457,0.304795,0.344784,0.346019,0.347037,0.326442,0.257536,0.244986,0.282558,0.227603,0.226887,0.166824,0.180425,0.170553,0.178578,0.219813,0.147858,0.219082,0.208659,0.168627,0.229907,0.174222,0.140139,0.122008,0.0739598,0.0365205,0.0579037,0.0715954,0.0905092,0.109556,0.125175,0.151663,0.104224,0.0395567,0.0288016,0.0175654,0.0161642,0.0122926,0.0221887,0.0241471,0.0219387,0.0181564,0.0133518,0.00553047,0.00797151,0.00306088,0.0012339,0.000421104,0.00109717,0.000359219,0.000161845,2.68706e-05,5.52042e-06,1.73572e-07,5.2236e-08,6.00935e-10,3.76921e-14,0,0,0,0
path_4,0.428711,0.370157,0.436652,0.419907,0.393572,0.326411,0.389986,0.430855,0.435957,0.387576,0.374189,0.435805,0.430557,0.490863,0.463998,0.516693,0.52766,0.506262,0.515552,0.525238,0.597147,0.632096,0.639618,0.674152,0.712052,0.687414,0.630737,0.596344,0.566392,0.534948,0.493249,0.516527,0.532454,0.511547,0.511132,0.506263,0.569138,0.540918,0.587644,0.653222,0.673502,0.643189,0.510558,0.573857,0.6049,0.607952,0.619048,0.684259,0.760027,0.766809,0.729591,0.805676,0.821671,0.819942,0.853478,0.78259,0.79437,0.823385,0.861584,0.859217,0.899813,0.888454,0.895016,0.879011,0.839748,0.87711,0.80624,0.890534,0.805779,0.873707,0.799364,0.830536,0.78814,0.871838,0.843151,0.892598,0.898528,0.915031,0.92185,0.908855,0.933518,0.892692,0.834272,0.81023,0.820259,0.859176,0.704923,0.592798,0.456246,0.348724,0.335921,0.582549,0.603084,0.45052,0.384926,0.251101,0.253417,0.277867,0.238577,0.169188,0
path_5,0.428711,0.491658,0.49901,0.503819,0.493191,0.512082,0.547351,0.584039,0.569518,0.560184,0.523736,0.54777,0.514995,0.524254,0.574773,0.537368,0.540477,0.488164,0.456844,0.439019,0.345045,0.437326,0.423289,0.447335,0.517953,0.581187,0.672789,0.717224,0.633443,0.620965,0.653289,0.680003,0.617329,0.616774,0.516862,0.45438,0.423204,0.420145,0.478765,0.5245,0.533198,0.556328,0.555907,0.585412,0.627618,0.714906,0.729319,0.726921,0.782406,0.809534,0.774885,0.842699,0.852208,0.878443,0.90728,0.886283,0.889013,0.904363,0.901546,0.933016,0.89296,0.827782,0.901773,0.910753,0.870585,0.882549,0.865157,0.826561,0.826663,0.850366,0.90127,0.94394,0.934409,0.9026,0.888732,0.905389,0.915537,0.939268,0.954966,0.966881,0.977015,0.970578,0.964374,0.972134,0.984437,0.962716,0.980426,0.996174,0.995717,0.997689,0.999163,0.999974,0.999997,0.999989,1,1,1,1,1,1,1
path_6,0.428711,0.398091,0.326678,0.366335,0.401015,0.398885,0.467109,0.508317,0.542371,0.558334,0.537557,0.499014,0.526636,0.524765,0.594301,0.554223,0.557923,0.461974,0.427374,0.537154,0.539452,0.667696,0.625524,0.60532,0.666451,0.661442,0.66326,0.685721,0.754011,0.768366,0.810284,0.82214,0.820087,0.771575,0.757571,0.697282,0.732785,0.715549,0.70506,0.771153,0.796946,0.822308,0.861972,0.858431,0.840744,0.826897,0.817182,0.803183,0.789362,0.827452,0.812021,0.784921,0.740093,0.803907,0.735713,0.768638,0.732797,0.796246,0.818617,0.779889,0.77242,0.62137,0.523664,0.573865,0.584825,0.482955,0.514382,0.465559,0.537582,0.485992,0.419628,0.314331,0.315978,0.342088,0.335977,0.345175,0.427666,0.437628,0.327093,0.240615,0.168346,0.0769165,0.0368542,0.0583758,0.0391388,0.0244862,0.0753364,0.0544419,0.0872884,0.113281,0.0364858,0.0990726,0.0994079,0.374447,0.164586,0.139899,0.338421,0.184197,0.093604,0.019809,0
path_7,0.428711,0.416439,0.436026,0.44036,0.497089,0.538586,0.527908,0.541754,0.474233,0.415358,0.415594,0.456923,0.385203,0.391298,0.43068,0.44877,0.522661,0.540767,0.594858,0.548977,0.53667,0.525011,0.497541,0.532103,0.593464,0.632132,0.646979,0.658878,0.682028,0.729358,0.668244,0.715058,0.696982,0.668824,0.720657,0.706585,0.747072,0.758636,0.745815,0.748767,0.761704,0.758309,0.702138,0.565648,0.680859,0.730967,0.769926,0.751709,0.690343,0.776395,0.733981,0.786549,0.83165,0.877181,0.882993,0.919924,0.92189,0.908141,0.906726,0.908615,0.94885,0.934169,0.916221,0.937734,0.919943,0.964975,0.965591,0.970637,0.98332,0.980831,0.990868,0.986627,0.971432,0.9708,0.974763,0.975467,0.98519,0.994347,0.996999,0.998314,0.998528,0.998738,0.996401,0.997434,0.994982,0.996705,0.997967,0.999851,0.999854,0.999639,0.999162,0.998946,0.999939,1,1,1,1,1,1,1,1
path_8,0.428711,0.464965,0.496828,0.496924,0.498176,0.527854,0.538599,0.543474,0.531622,0.536258,0.523084,0.630637,0.579713,0.564598,0.533321,0.559602,0.524131,0.481716,0.472607,0.507127,0.536038,0.506143,0.502773,0.517855,0.616161,0.677121,0.623107,0.737514,0.704792,0.745774,0.749987,0.699754,0.608053,0.623264,0.684232,0.706212,0.788376,0.846595,0.852567,0.848455,0.878531,0.807208,0.7674,0.718508,0.699834,0.669963,0.787042,0.723589,0.692884,0.660821,0.64801,0.657868,0.745516,0.741034,0.742462,0.722216,0.762177,0.833075,0.859806,0.853644,0.872157,0.865571,0.832499,0.765366,0.795617,0.808239,0.847385,0.822366,0.818815,0.848769,0.83139,0.810956,0.80817,0.837272,0.862637,0.889986,0.840133,0.867046,0.952448,0.959523,0.920204,0.984908,0.963554,0.953706,0.989002,0.983682,0.946198,0.880753,0.879435,0.878019,0.884437,0.909213,0.927603,0.89122,0.824879,0.769514,0.800321,0.838646,0.967611,0.999691,1
path_9,0.428711,0.433251,0.476741,0.546286,0.552536,0.574554,0.559252,0.548204,0.5371,0.505945,0.456549,0.480997,0.441254,0.436552,0.480299,0.473227,0.482674,0.519938,0.483974,0.40065,0.42809,0.388748,0.375463,0.345737,0.328056,0.313011,0.309591,0.355022,0.338425,0.307044,0.329148,0.349271,0.323283,0.295717,0.31508,0.398516,0.386094,0.479206,0.449016,0.536104,0.592022,0.58381,0.551613,0.609868,0.587175,0.625409,0.596479,0.594354,0.630778,0.637224,0.704361,0.681015,0.723933,0.759984,0.727728,0.741391,0.763811,0.831941,0.820924,0.772092,0.718068,0.764488,0.811026,0.80088,0.819628,0.888071,0.906379,0.852859,0.934249,0.925668,0.917749,0.829323,0.898685,0.893691,0.914536,0.954947,0.980416,0.962099,0.970727,0.96659,0.959759,0.980119,0.963902,0.989953,0.978853,0.97701,0.995172,0.99613,0.99791,0.999629,0.999933,0.999985,0.999997,1,1,1,1,1,1,1,1
path_10,0.428711,0.397483,0.399074,0.440868,0.421327,0.381767,0.405891,0.410396,0.423886,0.480491,0.55143,0.587208,0.522808,0.546404,0.599773,0.696751,0.6846,0.75788,0.780753,0.796765,0.837795,0.838417,0.823212,0.786488,0.780257,0.831016,0.850653,0.902953,0.898203,0.919902,0.890129,0.886952,0.922343,0.940374,0.938913,0.90469,0.916377,0.917619,0.901855,0.892684,0.85843,0.849207,0.806265,0.820485,0.810363,0.829915,0.828681,0.863977,0.877153,0.899473,0.921265,0.93008,0.973725,0.978203,0.99226,0.991594,0.991892,0.996326,0.99838,0.999199,0.999496,0.998967,0.998206,0.9983,0.999253,0.999026,0.999463,0.998856,0.999649,0.999893,0.999774,0.999862,0.999326,0.999099,0.999205,0.998852,0.998928,0.999776,0.999955,0.999976,0.99997,0.999993,0.999984,0.999987,0.999998,0.999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
path_11,0.428711,0.475978,0.410306,0.416542,0.476011,0.548709,0.529464,0.573934,0.581075,0.582972,0.561715,0.587835,0.536023,0.49765,0.505481,0.574626,0.536733,0.527275,0.612417,0.629634,0.632906,0.56055,0.567151,0.472616,0.491602,0.51443,0.480161,0.441997,0.469225,0.440676,0.418341,0.416097,0.41023,0.384823,0.415342,0.438947,0.456508,0.442794,0.451864,0.489314,0.498085,0.591103,0.633607,0.612173,0.561224,0.610203,0.524596,0.535623,0.517026,0.498467,0.46392,0.50258,0.572148,0.615817,0.610257,0.588408,0.634488,0.582895,0.493527,0.56517,0.481182,0.581159,0.663931,0.726952,0.607928,0.67879,0.802062,0.878617,0.789419,0.780534,0.786063,0.729068,0.759414,0.847918,0.852215,0.859183,0.889552,0.841913,0.851329,0.760579,0.754965,0.581104,0.673391,0.757343,0.82403,0.836844,0.914059,0.914822,0.954407,0.9869,0.974635,0.943714,0.950087,0.944596,0.936774,0.996735,0.999457,0.999949,1,1,1
path_12,0.428711,0.409198,0.41841,0.415026,0.426868,0.479524,0.48282,0.503612,0.480808,0.452757,0.491928,0.485165,0.449861,0.498359,0.478132,0.480592,0.436757,0.453923,0.565038,0.615152,0.639979,0.59407,0.57384,0.585751,0.593793,0.610724,0.537441,0.494723,0.544489,0.586055,0.606415,0.637913,0.664791,0.61407,0.602931,0.575025,0.553175,0.606959,0.603454,0.610955,0.545254,0.506852,0.450881,0.388487,0.41595,0.345436,0.381102,0.301722,0.332463,0.43133,0.396161,0.372163,0.466472,0.535597,0.558253,0.542255,0.58267,0.633906,0.59073,0.691044,0.752516,0.68761,0.587212,0.486779,0.563016,0.548981,0.631497,0.64622,0.613077,0.669452,0.578653,0.64129,0.753644,0.655768,0.640034,0.539035,0.417681,0.42448,0.421063,0.275032,0.337186,0.392145,0.510291,0.395852,0.360889,0.327271,0.447644,0.487007,0.483185,0.447608,0.333732,0.420335,0.535724,0.365421,0.476294,0.402746,0.345353,0.393342,0.485295,0.991914,1
path_13,0.428711,0.411996,0.399829,0.340129,0.296951,0.270731,0.229469,0.229226,0.271021,0.266294,0.271579,0.321416,0.3342,0.381669,0.301956,0.301637,0.212396,0.232952,0.311188,0.39203,0.407108,0.425198,0.393427,0.369695,0.393768,0.36878,0.34871,0.371275,0.373925,0.404951,0.409604,0.398388,0.308804,0.320198,0.275019,0.26839,0.278365,0.319992,0.341724,0.292242,0.287635,0.287244,0.219161,0.181055,0.187195,0.168687,0.191983,0.239664,0.172317,0.107911,0.137976,0.117478,0.0998442,0.0948027,0.138858,0.166711,0.114105,0.103848,0.0713141,0.0578924,0.0431431,0.0674648,0.0863098,0.100162,0.0652518,0.0491019,0.0355447,0.0220847,0.0250875,0.0314274,0.0354112,0.055618,0.0441702,0.0696744,0.0394005,0.104872,0.0466051,0.0250589,0.0182453,0.00887316,0.00650737,0.012673,0.0136159,0.0164314,0.00714406,0.011732,0.00291443,0.00515517,0.00535052,0.00255831,0.00145234,0.000173383,0.000224802,8.61456e-05,9.09677e-07,3.11104e-07,3.92632e-09,9.97769e-11,1.0652e-12,0,0
path_14,0.428711,0.42342,0.44234,0.448387,0.466598,0.459279,0.472041,0.442325,0.475113,0.529434,0.528467,0.43713,0.396971,0.385464,0.399647,0.393257,0.435224,0.431194,0.404361,0.428345,0.475892,0.483682,0.375343,0.373405,0.382505,0.434884,0.406301,0.309399,0.361145,0.353425,0.317334,0.317238,0.357579,0.388965,0.355934,0.34908,0.337858,0.363039,0.360283,0.392132,0.375628,0.32287,0.317622,0.269572,0.265779,0.301322,0.301186,0.316671,0.263802,0.270669,0.23107,0.147265,0.17459,0.158375,0.119484,0.111865,0.118164,0.18736,0.182316,0.229173,0.172623,0.192351,0.173918,0.200569,0.30932,0.40672,0.429743,0.374355,0.449079,0.32995,0.346377,0.36499,0.324567,0.340038,0.294605,0.32812,0.323198,0.252556,0.219549,0.183537,0.275706,0.388274,0.445098,0.362484,0.372917,0.470403,0.449512,0.31978,0.33346,0.412903,0.482107,0.560903,0.51352,0.483396,0.520558,0.703574,0.478769,0.606677,0.80573,0.98446,1
path_15,0.428711,0.343156,0.367895,0.370094,0.416035,0.428074,0.440029,0.485549,0.51729,0.536855,0.563156,0.422182,0.431066,0.391072,0.378254,0.402967,0.453839,0.437673,0.417081,0.398447,0.380571,0.310733,0.254157,0.293158,0.292738,0.303283,0.280299,0.240966,0.266792,0.239773,0.237156,0.296816,0.365513,0.382003,0.335165,0.372666,0.422715,0.486851,0.490441,0.474459,0.427603,0.46682,0.420604,0.410632,0.379447,0.414214,0.445978,0.502736,0.452217,0.392078,0.415507,0.413303,0.339362,0.385103,0.432037,0.433643,0.45359,0.401413,0.430536,0.533056,0.636591,0.649522,0.676243,0.708453,0.686672,0.546185,0.499078,0.443139,0.265479,0.281467,0.287376,0.292562,0.258107,0.196255,0.177008,0.216429,0.208049,0.151193,0.10388,0.0432781,0.0229025,0.0295655,0.019981,0.0155095,0.0145593,0.00861168,0.00748079,0.0104391,0.0014924,0.000444526,0.000817243,0.000334572,0.000123841,0.000515006,0.000330489,4.75641e-05,7.60108e-05,0.000128859,2.08112e-05,3.13975e-09,0
path_16,0.428711,0.400479,0.417144,0.374791,0.352492,0.346439,0.357084,0.349696,0.317412,0.390609,0.408799,0.317409,0.355439,0.412747,0.42196,0.444668,0.387102,0.435147,0.424122,0.385252,0.401566,0.394435,0.384683,0.433084,0.426713,0.471641,0.432278,0.441729,0.426915,0.424994,0.427455,0.496104,0.495002,0.476881,0.517635,0.530912,0.608319,0.567707,0.585598,0.551222,0.525706,0.558461,0.562971,0.643971,0.662867,0.669464,0.625704,0.577577,0.507367,0.481093,0.551614,0.430755,0.384587,0.371548,0.325458,0.309262,0.239007,0.204153,0.260461,0.20424,0.161733,0.17995,0.132611,0.165228,0.163558,0.0959998,0.163837,0.117072,0.126618,0.112912,0.138133,0.0889527,0.0857282,0.0842513,0.0682994,0.0466065,0.0751818,0.101318,0.0775205,0.113524,0.0760857,0.0805275,0.0743549,0.050762,0.0550022,0.0319964,0.0347363,0.0417,0.0256233,0.0196379,0.0191406,0.00581542,0.000891227,0.00108286,0.000680606,5.05655e-05,4.65046e-07,1.04329e-08,6.19987e-12,0,0
path_17,0.428711,0.49342,0.468957,0.485494,0.495212,0.445321,0.462965,0.396413,0.475162,0.500523,0.533586,0.56139,0.541258,0.512309,0.498351,0.454514,0.474227,0.447809,0.437343,0.455589,0.440077,0.430804,0.403726,0.467438,0.443956,0.453246,0.468347,0.44018,0.471291,0.48705,0.527496,0.458793,0.384165,0.32305,0.296617,0.253009,0.241625,0.298107,0.29198,0.276935,0.2728,0.241573,0.255455,0.274684,0.311193,0.316582,0.316483,0.36175,0.470019,0.498938,0.620638,0.607034,0.524221,0.554564,0.45491,0.402121,0.444495,0.452312,0.411482,0.334828,0.266736,0.269721,0.336462,0.239659,0.208508,0.173537,0.209171,0.250352,0.360765,0.311302,0.258036,0.248963,0.357191,0.356059,0.316185,0.32947,0.288439,0.348569,0.33873,0.267406,0.234284,0.204097,0.175147,0.209176,0.196076,0.282222,0.328598,0.361253,0.272142,0.200683,0.256922,0.101267,0.0766292,0.0535443,0.0847496,0.0782952,0.118037,0.0109321,0.00161476,6.59217e-12,0
path_18,0.428711,0.518961,0.496046,0.3905,0.340247,0.431593,0.470176,0.481584,0.493511,0.418652,0.405145,0.391319,0.332504,0.326803,0.306037,0.28294,0.312779,0.289445,0.320788,0.322859,0.364121,0.365864,0.346297,0.349755,0.336085,0.331039,0.362097,0.312856,0.296079,0.308833,0.331958,0.367642,0.313854,0.357977,0.303221,0.319849,0.349432,0.375071,0.355698,0.382753,0.435305,0.448061,0.412616,0.526865,0.586331,0.63104,0.621187,0.578761,0.639364,0.583119,0.678238,0.694927,0.735874,0.843175,0.847416,0.838462,0.829606,0.859592,0.902405,0.907909,0.938929,0.969158,0.973992,0.974457,0.966889,0.966256,0.976734,0.983275,0.980171,0.980462,0.990353,0.988025,0.988226,0.994012,0.993808,0.991525,0.992894,0.996755,0.997725,0.995502,0.994601,0.989195,0.997976,0.998702,0.998706,0.998999,0.999106,0.994997,0.997778,0.998568,0.996778,0.998204,0.998373,0.990429,0.995602,0.995895,0.999833,0.99999,0.999998,1,1
path_19,0.428711,0.474074,0.484538,0.489854,0.451372,0.454739,0.408982,0.401835,0.396368,0.425476,0.418588,0.380965,0.316708,0.271944,0.269025,0.265715,0.26584,0.214867,0.17095,0.13723,0.0816637,0.0828496,0.0816037,0.0677158,0.0693516,0.074145,0.072357,0.0728367,0.0531005,0.0458876,0.0525442,0.0455447,0.0577109,0.06438,0.0507737,0.0504585,0.0807414,0.0699257,0.0794677,0.0807608,0.0578604,0.0511315,0.0540778,0.0437864,0.0504665,0.0650974,0.0493479,0.0396273,0.0520518,0.0462321,0.072501,0.0687015,0.0681215,0.0711394,0.0796746,0.0575034,0.0598187,0.0805439,0.0464899,0.0437026,0.0345259,0.0568513,0.0604718,0.0507151,0.0510149,0.0478515,0.0374043,0.0355453,0.023013,0.0414771,0.0380712,0.0152781,0.0132601,0.0189132,0.0555065,0.0315562,0.0703193,0.0859262,0.0740735,0.0785293,0.0914369,0.0390861,0.00989948,0.0233729,0.0472064,0.0852452,0.0735939,0.0420864,0.01807,0.00719511,0.00176078,0.000380952,0.000453321,0.00036714,0.00310844,0.00270125,0.00504977,0.000254045,0.000330546,1.41099e-06,0
path_20,0.428711,0.372171,0.418208,0.423218,0.429707,0.441642,0.415921,0.387226,0.44888,0.401958,0.440708,0.472991,0.56191,0.590114,0.660657,0.692082,0.707612,0.644748,0.639611,0.608234,0.627595,0.654746,0.608342,0.65281,0.641508,0.621546,0.586642,0.599541,0.65116,0.663032,0.597215,0.575061,0.644028,0.605332,0.633729,0.683845,0.678687,0.735341,0.745647,0.828748,0.843968,0.838922,0.785798,0.746367,0.699485,0.708535,0.661273,0.683455,0.695724,0.681013,0.623686,0.67395,0.623655,0.612562,0.563368,0.527196,0.560473,0.653954,0.693728,0.742816,0.754522,0.73483,0.617126,0.550697,0.562994,0.632516,0.647138,0.569381,0.437909,0.469064,0.481363,0.488618,0.543327,0.611426,0.647008,0.603066,0.571551,0.588625,0.575849,0.542997,0.48466,0.497909,0.534398,0.368616,0.346669,0.254648,0.246252,0.211784,0.290608,0.275159,0.172536,0.215391,0.348481,0.178584,0.181866,0.100834,0.267295,0.181439,0.322695,0.741344,1
path_21,0.428711,0.458005,0.483491,0.465518,0.461,0.446629,0.451641,0.410615,0.511624,0.532922,0.574483,0.63488,0.644439,0.619239,0.631749,0.62463,0.636996,0.670339,0.690814,0.736661,0.705409,0.723199,0.714413,0.729359,0.753226,0.736246,0.733156,0.79069,0.782805,0.758289,0.726173,0.732677,0.7026,0.644098,0.572792,0.509613,0.496247,0.431773,0.371633,0.406065,0.363148,0.458467,0.507647,0.548689,0.645735,0.653111,0.704035,0.790129,0.812054,0.854153,0.867829,0.848757,0.817453,0.825338,0.8391,0.912975,0.899711,0.889878,0.897189,0.900371,0.906954,0.860484,0.869858,0.913269,0.944513,0.95254,0.974116,0.965775,0.975343,0.979375,0.986968,0.992288,0.991261,0.992453,0.995998,0.993727,0.9958,0.993844,0.997618,0.998138,0.997543,0.999153,0.999755,0.999919,0.999949,0.999935,0.999772,0.999966,0.999959,0.999985,0.999998,1,1,1,1,1,1,1,1,1,1
path_22,0.428711,0.435323,0.435059,0.390976,0.454579,0.420893,0.431694,0.428987,0.32603,0.348671,0.348748,0.291289,0.282023,0.330013,0.29735,0.357792,0.323207,0.309479,0.349989,0.392719,0.360767,0.296835,0.285974,0.300741,0.321977,0.3351,0.383048,0.439627,0.413443,0.423254,0.486999,0.423415,0.425318,0.46104,0.430779,0.360362,0.333231,0.267672,0.427806,0.411414,0.525701,0.490574,0.485616,0.409738,0.449555,0.535072,0.43535,0.474885,0.430037,0.468117,0.406902,0.376592,0.469732,0.566841,0.453755,0.424913,0.478811,0.411209,0.396642,0.363141,0.4478,0.460149,0.369603,0.305685,0.254661,0.255877,0.22937,0.304172,0.221823,0.198924,0.230444,0.221198,0.170019,0.203282,0.251092,0.217066,0.279625,0.367636,0.165738,0.197522,0.181196,0.352731,0.501238,0.513401,0.448295,0.361503,0.498453,0.432702,0.364318,0.333115,0.321331,0.207862,0.140918,0.258458,0.354921,0.265472,0.514574,0.56894,0.791119,0.969367,1
path_23,0.428711,0.413234,0.388395,0.369579,0.317006,0.375054,0.384039,0.342733,0.328174,0.308119,0.364282,0.368517,0.299799,0.388864,0.374535,0.367476,0.386051,0.398949,0.359174,0.371004,0.432764,0.455905,0.417463,0.436601,0.433607,0.41567,0.39872,0.440722,0.420576,0.398433,0.380459,0.400192,0.355696,0.334102,0.346592,0.434112,0.398607,0.421549,0.330175,0.190038,0.235938,0.225037,0.255067,0.239369,0.247758,0.261111,0.308309,0.264348,0.267974,0.26605,0.357168,0.461913,0.591987,0.555012,0.4508,0.44691,0.384913,0.396571,0.406026,0.496511,0.562164,0.526811,0.5885,0.589295,0.538667,0.526326,0.555119,0.601768,0.508998,0.478264,0.448834,0.429774,0.423861,0.328679,0.299592,0.345643,0.333611,0.403884,0.423016,0.315783,0.25585,0.207214,0.184469,0.190722,0.151058,0.0821533,0.057479,0.0613105,0.0383008,0.0492005,0.0637924,0.0479553,0.0527264,0.0400587,0.0419562,0.0102433,0.00556511,0.00328746,0.000477487,1.20151e-09,0
path_24,0.428711,0.372007,0.374731,0.347133,0.352617,0.356102,0.422376,0.508428,0.541365,0.559308,0.525106,0.539421,0.488911,0.461683,0.536938,0.532853,0.494148,0.527478,0.615745,0.676113,0.639667,0.725494,0.660818,0.731508,0.763832,0.770966,0.710374,0.669814,0.664818,0.687153,0.631314,0.689072,0.715077,0.710263,0.68981,0.754637,0.698689,0.730626,0.734797,0.793386,0.821671,0.845953,0.820608,0.885602,0.886798,0.915808,0.898916,0.907764,0.91731,0.943869,0.946337,0.920387,0.927733,0.947859,0.965662,0.952655,0.962237,0.934503,0.915679,0.881231,0.897469,0.931386,0.88979,0.882124,0.908014,0.826162,0.823388,0.793958,0.839764,0.712562,0.735289,0.690844,0.754961,0.737559,0.646691,0.724744,0.686449,0.78189,0.75948,0.819774,0.84351,0.907425,0.912901,0.922734,0.880396,0.942251,0.935864,0.942499,0.980807,0.98896,0.976681,0.99581,0.986263,0.990414,0.990179,0.984171,0.980183,0.988675,0.999528,0.999876,1
path_25,0.428711,0.466065,0.500004,0.550876,0.542343,0.573784,0.569609,0.583976,0.5172,0.523431,0.511795,0.51681,0.521242,0.496834,0.52292,0.575571,0.599812,0.566614,0.50483,0.456161,0.422959,0.468005,0.4461,0.450152,0.515541,0.552091,0.537103,0.487742,0.37807,0.329886,0.235186,0.291081,0.25839,0.240375,0.146552,0.156364,0.173353,0.176385,0.225982,0.159922,0.16958,0.115634,0.0904045,0.0959619,0.107277,0.0849723,0.0895498,0.0919968,0.0697859,0.0509313,0.0402279,0.0313429,0.0252724,0.0155393,0.0104875,0.0177215,0.0196669,0.0200901,0.018602,0.0200427,0.0230258,0.0403782,0.0282005,0.0337446,0.0237804,0.00959379,0.0111095,0.0103716,0.00790141,0.0082096,0.00783777,0.00693364,0.00907174,0.00783876,0.0083214,0.00740148,0.00350009,0.00577781,0.00766864,0.0141875,0.0166699,0.0234594,0.0259008,0.0198231,0.0294771,0.0140616,0.0187221,0.0226541,0.0235712,0.0337442,0.0561454,0.0436451,0.0748763,0.0497782,0.0272096,0.00175122,0.000857511,0.000158919,0.000256532,4.62963e-14,0
